IsoYear,BasicPlusPct,LimitedPct,UnimprovedPct,SurfacePct
GIB2000,>99,<1,<1,<1
GIN2000,50.020186832808,14.1111201218896,19.1648543929167,16.7038386523857
GLP2000,-,-,-,-
GMB2000,72.1075908501495,10.7654973984985,17.0470576175728,<1
GNB2000,55.2996278316054,2.32475555246782,39.7540685364107,2.62154807951608
GNQ2000,51.0981422023709,2.31132730255312,15.0551921522316,31.5353383428443
GRC2000,>99,<1,<1,<1
GRD2000,93.3076378093218,1.13329114748164,5.55907104319652,<1
GRL2000,>99,<1,<1,<1
GTM2000,86.5006228387363,<1,9.65599850445663,3.37499232464633
GUF2000,-,-,-,-
GUM2000,>99,<1,<1,<1
GUY2000,88.5382896920679,1.82613854824366,5.00014761655555,4.63542414313289
HKG2000,98.744257245942,<1,1.25574275405796,<1
HND2000,85.351031542682,<1,11.3682564603158,3.14571117841186
HRV2000,98.6494084688423,<1,<1,<1
HTI2000,56.23929167461,6.95723265873768,20.7984490775379,16.0050265891144
HUN2000,>99,<1,<1,<1
IDN2000,75.2848191583704,<1,20.2861308181025,3.83873060067073
IMN2000,-,-,-,-
IND2000,79.879271219411,4.19462517679711,14.5614187620493,1.36468484174257
IRL2000,97.2116915316311,<1,2.78830846836888,<1
IRN2000,94.1533951020254,2.1927857213476,3.28991681996691,<1
IRQ2000,80.8465216782676,1.27757537283247,6.69807421825673,11.1778287306432
ISL2000,>99,<1,<1,<1
ISR2000,>99,<1,<1,<1
ITA2000,>99,<1,<1,<1
JAM2000,93.140042023831,<1,3.33709633159358,3.0024144065581
JOR2000,98.5618157391789,<1,1.1671400771283,<1
JPN2000,98.5041275829008,<1,1.49587241709924,<1
KAZ2000,90.1456856906055,<1,7.09947922919961,1.83611932060627
KEN2000,47.5215439625049,7.03804321098419,16.4318661618057,29.0085466647052
KGZ2000,80.1783460675784,<1,4.4342731111464,14.5842761716752
KHM2000,51.899880591249,<1,23.1606166479411,24.9395027608099
KIR2000,60.893231266574,<1,38.5849918162392,<1
KNA2000,98.4498940767374,<1,1.55010592326261,<1
KOR2000,-,-,-,-
KWT2000,>99,<1,<1,<1
LAO2000,46.143848205213,<1,27.5524045258864,25.7334918298423
LBN2000,84.405966418836,6.74518522137566,8.70342835978835,<1
LBR2000,62.1141167174672,3.62662656977814,16.5019482395379,17.7573084732168
LBY2000,84.2320719602978,<1,15.7679280397022,<1
LCA2000,90.3798695074755,1.73377544357641,7.88635504894811,<1
LIE2000,>99,<1,<1,<1
LKA2000,82.8471911815725,1.7484017361434,11.2752926790085,4.12911440327562
LSO2000,65.636611158019,11.4139698326641,22.7153818390474,<1
LTU2000,89.6695663284182,<1,10.3304336715818,<1
LUX2000,>99,<1,<1,<1
LVA2000,97.8027224566011,<1,1.51845343793946,<1
MAC2000,>99,<1,<1,<1
MAF2000,>99,<1,<1,<1
MAR2000,64.7959021092167,4.92075996995278,27.2545826912212,3.0287552296094
MCO2000,>99,<1,<1,<1
MDA2000,82.9191762020796,1.42758920176814,15.6532345961523,<1
MDG2000,36.9481213461385,1.94991973246871,23.6560275652347,37.4459313561581
MDV2000,93.8161752422714,<1,5.91974954569667,<1
MEX2000,90.6043820368074,1.12045447147286,5.83429291460363,2.44087057711611
MHL2000,-,-,-,-
MKD2000,96.8854893538115,2.48366918855592,<1,<1
MLI2000,49.8731925730894,4.41270214383376,40.9734667232314,4.74063855984548
MLT2000,>99,<1,<1,<1
MMR2000,47.7268532369647,18.9777711813084,17.5601447459293,15.7352308357976
MNE2000,-,-,-,-
MNG2000,62.4953614169164,6.27895184733439,12.9435866362004,18.2821000995488
MNP2000,96.8436215951858,<1,3.15637840481418,<1
MOZ2000,22.7135095802514,5.76762898253744,54.3094801112641,17.209381325947
MRT2000,41.6727136260492,18.9185446693735,33.447224635969,5.96151706860827
